id,user_id,point_id,tour_visit_activity_id,seq_number_of_visits,created_at,updated_at,language
1,14,38.0,1,1,11/2/2014 17:52,11/2/2014 17:52,3
2,14,39.0,1,1,11/2/2014 17:49,11/2/2014 17:49,3
3,14,37.0,1,1,11/2/2014 17:35,11/2/2014 17:35,3
4,14,35.0,1,1,11/2/2014 17:32,11/2/2014 17:32,3
5,14,36.0,1,1,11/2/2014 17:31,11/2/2014 17:31,3
6,2,295.0,2,1,3/4/2015 7:44,3/4/2015 7:44,3
7,2,280.0,3,1,10/21/2015 12:44,10/21/2015 12:44,3
8,2,277.0,3,1,10/21/2015 12:41,10/21/2015 12:41,3
9,2,274.0,3,1,10/21/2015 12:37,10/21/2015 12:37,3
10,2,279.0,3,1,3/6/2015 9:30,3/6/2015 9:30,3
11,2,278.0,3,1,3/6/2015 9:09,3/6/2015 9:09,3
12,2,276.0,3,1,3/6/2015 8:38,3/6/2015 8:38,3
13,160,650.0,4,1,5/29/2015 16:00,5/29/2015 16:00,3
14,154,691.0,5,1,5/31/2016 9:40,5/31/2016 9:40,3
15,154,692.0,5,1,9/8/2015 14:06,9/8/2015 14:06,3
16,154,706.0,5,1,9/8/2015 13:15,9/8/2015 13:15,3
17,154,688.0,5,1,9/8/2015 13:04,9/8/2015 13:04,3
18,154,687.0,5,1,7/4/2015 10:14,7/4/2015 10:14,3
19,154,693.0,5,1,7/4/2015 10:12,7/4/2015 10:12,3
20,154,704.0,5,1,7/4/2015 10:10,7/4/2015 10:10,3
21,154,641.0,5,1,7/4/2015 10:07,7/4/2015 10:07,3
22,154,638.0,5,1,6/20/2015 14:02,6/20/2015 14:02,3
23,154,642.0,5,1,5/30/2015 14:12,5/30/2015 14:12,3
24,154,640.0,5,1,5/30/2015 12:56,5/30/2015 12:56,3
25,154,639.0,5,1,5/30/2015 12:55,5/30/2015 12:55,3
26,14,709.0,6,1,7/22/2015 22:15,7/22/2015 22:15,3
27,14,717.0,6,1,6/29/2015 13:33,6/29/2015 13:33,3
28,199,345.0,7,1,7/5/2015 18:55,7/5/2015 18:55,3
29,199,346.0,7,1,7/5/2015 18:53,7/5/2015 18:53,3
30,199,351.0,7,1,7/5/2015 18:47,7/5/2015 18:47,3
31,199,349.0,7,1,7/5/2015 18:39,7/5/2015 18:39,3
32,14,822.0,8,1,7/12/2015 18:58,7/12/2015 18:58,3
33,14,821.0,8,1,7/12/2015 18:44,7/12/2015 18:44,3
34,14,820.0,8,1,7/12/2015 18:40,7/12/2015 18:40,3
35,14,819.0,8,1,7/12/2015 18:32,7/12/2015 18:32,3
36,14,817.0,8,1,7/12/2015 18:25,7/12/2015 18:25,3
37,14,818.0,8,1,7/12/2015 18:23,7/12/2015 18:23,3
38,14,728.0,8,1,7/12/2015 18:17,7/12/2015 18:17,3
39,14,722.0,8,1,7/12/2015 18:11,7/12/2015 18:11,3
40,14,721.0,8,1,7/12/2015 18:05,7/12/2015 18:05,3
