id,rating,reviews_count,photo_file_name,photo_content_type,photo_file_size,photo_updated_at,author_id,created_at,updated_at,is_featured,length,points_count,taken_count,is_draft,language,finished_count,latitude,longitude,city,featured_position,view_count,owner_id,private,admin_private,allow_comments,allow_ratings,allow_min_points_for_comments,country,mobile_view_count,web_view_count,mobile_web_view_count,published_at,for_kids,deleted,tour_content_type,favourites_count,total_point_audio_length,visible_points_count,tour_downloads_count,location_country_id
2831,0,0,data,image/jpeg,1067136,4/8/2020 11:39,6150,8/6/2019 11:36,53:49.2,True,64.4,9,0,False,3,0,57.45820251,-7.402596474,UNKNOWN,7,1999,6150,False,False,True,True,0,United Kingdom,626,783,586,4/17/2020 8:57,False,False,2,16.0,"{""en"": 362.029}",9,13,75
4347,5,1,data,image/jpeg,1214948,5/25/2021 12:32,7580,3/12/2021 7:10,53:49.2,True,83.6,20,4,False,3,0,55.57608548,-5.139498711,Brodick,12,2898,7580,False,False,True,True,0,United Kingdom,1359,743,796,6/8/2021 13:25,False,False,2,13.0,"{""en"": 1953.823}",20,36,75
5791,0,0,data,image/jpeg,2918027,04:26.4,14992,04:35.2,50:56.7,True,150.0,19,0,False,3,0,56.124479,-3.6203156,UNKNOWN,8,1731,14992,False,False,True,True,0,United Kingdom,527,840,364,31:14.4,False,False,2,3.0,"{""en"": 2238.308}",20,9,75
5796,0,0,data,image/jpeg,2147569,17:28.0,14989,17:32.0,53:49.2,True,120.2,20,0,False,3,0,55.6840993,-6.04535614,Kintour,3407,1851,14989,False,False,True,True,0,United Kingdom,498,509,844,51:35.8,False,False,2,2.0,"{""en"": 2512.104}",20,1,75
5799,0,0,data,image/jpeg,8047329,58:09.3,14990,58:23.7,53:49.2,True,103.5,14,2,False,3,0,57.89623683,-5.156097656,Ullapool,3409,1760,14990,False,False,True,True,0,United Kingdom,322,727,711,10:25.9,False,False,2,2.0,"{""en"": 6198.572}",14,5,75
5800,5,2,data,image/jpeg,9214557,27:45.9,14991,28:00.0,53:49.2,True,260.5,11,56,False,3,0,55.86245344,-4.251189947,Glasgow,6,26053,14991,False,False,True,True,0,United Kingdom,2859,8720,14474,58:53.4,False,False,2,19.0,"{""en"": 1259.376}",11,48,75
5816,0,0,data,image/jpeg,2532148,47:25.4,15149,47:31.3,53:49.2,False,2.4,20,0,False,3,0,57.3941352,-5.453334265,Strathcarron,3423,640,15149,False,False,True,True,0,United Kingdom,90,75,475,17:48.9,False,False,2,0.0,"{""en"": 1822.921}",20,0,75
5823,0,0,data,image/jpeg,3315488,56:32.5,15152,56:39.8,53:49.2,False,2.4,15,8,False,3,0,55.99475542,-3.459348105,Abercorn,3429,720,15152,False,False,True,True,0,United Kingdom,261,144,315,59:10.6,False,False,2,1.0,"{""en"": 1957.93}",15,3,75
5824,0,0,data,image/jpeg,4749235,32:27.1,6150,52:59.5,53:49.2,False,100.0,20,0,False,3,0,58.3702626,-6.2235021,UNKNOWN,3430,622,6150,False,False,True,True,0,United Kingdom,225,203,194,33:44.4,False,False,2,1.0,"{""en"": 1961.184}",20,13,75
5831,0,0,data,image/jpeg,484358,49:24.1,14989,09:53.8,53:49.2,False,36.0,8,0,False,3,0,55.8450813,-6.1261301,Keills,3437,813,14989,False,False,True,True,0,United Kingdom,202,342,269,21:23.9,False,False,2,1.0,"{""en"": 652.392}",8,1,75
