id,user_id,tour_id,is_active,all_point_visited,visited_points_count,seq_number_of_started,tour_start_time,tour_end_time,created_at,updated_at,completed_percentage,dwell_time_in_mins,distance_travelled
6515,9048,,False,False,1,1,28:33.2,5/4/2022 15:28,28:33.2,29:28.3,16.67,0.16,0.0
6518,9048,,False,False,3,4,31:22.9,5/4/2022 16:05,31:22.9,46:27.2,50.0,34.35,425.9
10368,11510,,False,False,2,0,00:01.9,8/8/2022 10:04,00:01.9,22:18.1,66.67,4.02,0.0
11111,9494,6107.0,False,True,1,0,38:26.1,9/5/2022 2:38,38:26.1,38:26.1,100.0,0.05,0.0
11334,9494,6107.0,False,True,1,0,34:33.2,9/12/2022 3:34,34:33.2,34:33.2,100.0,0.06,0.0
11725,8190,6108.0,False,True,1,0,9/23/2022 4:32,9/23/2022 4:32,32:37.7,32:37.7,100.0,0.0,0.0
11726,9494,6107.0,False,True,1,8,46:24.9,9/23/2022 4:46,46:25.0,46:25.0,100.0,0.0,0.0
11905,12518,4347.0,False,False,1,9,52:29.4,9/26/2022 11:53,52:29.4,57:21.4,5.0,1.16,0.0
16746,15005,3612.0,True,False,1,0,01:35.8,3/29/2023 12:02,01:35.9,01:35.9,0.79,1.3,0.0
16941,15133,3612.0,True,False,1,2,27:02.9,4/5/2023 17:38,27:03.0,27:03.0,0.79,11.4,0.0
17314,9739,5823.0,False,False,1,10,45:53.2,4/15/2023 8:51,45:53.3,03:25.5,6.67,5.15,0.0
17315,9739,5823.0,False,False,3,11,03:25.5,4/15/2023 9:12,03:25.5,17:57.0,20.0,9.27,325.8
17317,9739,5823.0,False,False,4,13,23:15.8,4/15/2023 9:42,23:15.8,44:24.3,26.67,19.15,766.0
17322,9739,5823.0,False,False,1,14,44:24.3,4/15/2023 12:10,44:24.4,35:14.5,6.67,145.63,0.0
17581,15445,5863.0,False,False,1,1,42:36.6,4/21/2023 9:42,42:36.6,46:25.2,5.0,0.0,0.0
17582,15445,5863.0,True,False,1,2,46:25.2,4/21/2023 9:46,46:25.4,46:25.4,5.0,0.0,0.0
17951,15399,5874.0,False,False,3,0,46:30.1,4/26/2023 8:48,46:30.1,57:28.5,30.0,1.88,0.0
18200,15406,5874.0,False,False,3,2,27:19.5,5/3/2023 12:34,27:19.6,38:06.0,30.0,8827.57,0.0
18367,15399,5874.0,False,False,1,1,57:28.5,4/28/2023 11:57,57:28.6,53:03.4,10.0,0.41,0.0
18860,15437,5863.0,True,False,1,1,13:28.9,5/1/2023 18:13,13:28.9,13:28.9,5.0,0.08,0.0
19317,15266,5863.0,False,False,1,8,12:37.6,5/3/2023 14:12,12:37.7,58:27.9,5.0,0.06,0.0
20907,16204,5850.0,False,False,1,1,25:33.0,6/2/2023 10:06,25:33.0,06:26.7,6.25,41.1,0.0
20908,16204,5850.0,False,False,1,2,06:26.7,6/2/2023 10:08,06:26.8,27:11.9,6.25,2.25,0.0
21004,16260,5800.0,True,False,1,3,21:23.6,6/5/2023 7:23,21:23.6,21:23.6,9.09,2.17,0.0
21057,9494,6107.0,False,True,1,0,52:53.7,6/6/2023 8:53,52:53.7,52:53.7,100.0,0.82,0.0
21249,16401,5800.0,False,False,2,0,06:36.9,6/12/2023 12:19,06:37.0,22:31.3,18.18,13.12,0.0
21403,16472,5800.0,False,False,1,0,55:53.0,6/16/2023 11:56,55:53.0,00:02.7,9.09,0.78,0.0
21437,16482,5874.0,True,False,6,0,41:22.6,8/30/2023 10:50,41:22.6,49:17.3,60.0,106389.34,644.2
21489,16520,5874.0,False,False,1,1,15:10.3,6/19/2023 9:15,15:10.3,35:59.0,10.0,0.5,0.0
21490,16521,5874.0,False,False,3,0,16:05.2,6/19/2023 9:31,16:05.2,54:21.9,30.0,15.75,768.7
21493,16520,5874.0,False,False,1,2,37:47.8,6/19/2023 9:37,37:47.8,11:04.1,10.0,0.05,0.0
21497,16521,5874.0,True,False,6,1,54:21.9,6/19/2023 11:29,54:21.9,27:18.3,60.0,35.02,981.4
21498,16520,5874.0,True,False,1,3,11:04.1,6/19/2023 11:11,11:04.1,11:04.1,10.0,0.3,0.0
21554,16565,5800.0,True,False,1,0,15:53.8,6/21/2023 11:36,15:53.8,15:53.8,9.09,20.3,0.0
21717,16648,5800.0,True,False,1,2,29:23.6,6/26/2023 8:05,29:23.6,29:23.6,9.09,35.89,0.0
