id,tour_id,user_id,created_at,updated_at,device
7,5863,9494,25:15.8,25:15.8,0
8,4347,9494,00:07.8,00:07.8,0
13,2831,9494,05:36.9,05:36.9,0
14,5791,9494,07:56.8,07:56.8,0
17,5863,8300,24:24.3,24:24.3,0
18,2831,8300,24:54.2,24:54.2,0
19,4347,8300,42:33.8,42:33.8,0
29,5791,16436,38:39.6,38:39.6,0
31,5865,16438,01:55.5,01:55.5,0
37,5791,16454,38:41.2,38:41.2,0
38,5864,16470,49:29.9,49:29.9,0
39,5800,16471,51:31.1,51:31.1,0
41,5865,16486,18:42.3,18:42.3,0
42,5874,16482,41:37.2,41:37.2,0
55,5799,16558,38:19.9,38:19.9,0
57,5824,16545,54:04.3,54:04.3,0
63,5800,16589,53:46.9,53:46.9,0
72,3612,16602,49:18.9,49:18.9,0
73,5800,16603,56:19.2,56:19.2,0
75,5850,16603,23:26.2,23:26.2,0
77,6769,16603,23:41.7,23:41.7,0
79,3612,16615,40:29.3,40:29.3,0
82,5800,16621,33:57.8,33:57.8,0
83,5800,16622,54:44.3,54:44.3,0
92,5856,16664,45:23.3,45:23.3,0
93,4347,16664,48:07.5,48:07.5,0
100,2831,16695,50:31.5,50:31.5,0
101,5824,16697,02:43.1,02:43.1,0
102,5824,16699,23:47.9,23:47.9,0
104,2831,16702,53:28.1,53:28.1,0
105,5824,16702,59:59.0,59:59.0,0
106,2831,16704,03:40.2,03:40.2,0
107,5796,16705,15:50.2,15:50.2,0
108,5824,16717,01:19.9,01:19.9,0
114,5850,16751,28:51.7,28:51.7,0
115,6106,14051,04:38.6,04:38.6,0
128,3612,16774,46:49.1,46:49.1,0
131,2831,16684,38:24.9,38:24.9,0
132,3612,16596,40:28.7,40:28.7,0
140,3612,16807,46:58.7,46:58.7,0
148,5824,16825,41:14.3,41:14.3,0
149,5824,16829,22:29.6,22:29.6,0
155,5800,16858,39:14.5,39:14.5,0
166,3612,16911,35:49.7,35:49.7,0
167,5850,16919,42:31.9,42:31.9,0
168,6769,16919,49:49.4,49:49.4,0
182,2831,16943,09:22.7,09:22.7,0
189,4347,16943,32:46.0,32:46.0,0
190,5856,16978,59:11.7,59:11.7,0
191,3612,16978,03:39.4,03:39.4,0
200,5863,16438,00:29.9,00:29.9,0
201,5865,17016,34:09.8,34:09.8,0
207,5800,17030,40:28.9,40:28.9,0
213,2831,16785,41:23.8,41:23.8,0
220,5799,17097,24:55.0,24:55.0,0
229,5863,17117,11:39.8,11:39.8,0
230,5800,17152,08:53.8,08:53.8,0
235,4347,17172,04:19.4,04:19.4,0
248,5823,17244,27:21.2,27:21.2,0
249,5850,17201,43:34.3,43:34.3,0
256,2831,17267,36:32.1,36:32.1,0
258,4347,17269,39:06.0,39:06.0,0
274,5824,17267,26:44.4,26:44.4,0
276,5856,11732,49:08.4,49:08.4,0
277,4347,11732,49:43.3,49:43.3,0
278,3612,17337,18:54.4,18:54.4,0
279,5863,17345,23:47.6,23:47.6,0
281,4347,17347,07:26.8,07:26.8,0
282,5824,16785,52:17.3,52:17.3,0
299,4347,17410,51:59.2,51:59.2,0
324,5844,17486,49:01.6,49:01.6,0
329,6769,17494,01:01.9,01:01.9,0
330,5850,17494,01:42.7,01:42.7,0
342,5824,17522,17:43.8,17:43.8,0
343,5850,17525,54:04.8,54:04.8,0
348,5800,17494,37:19.5,37:19.5,0
360,5799,17581,30:57.3,30:57.3,0
382,5800,17646,54:42.6,54:42.6,0
386,5874,17648,35:56.8,35:56.8,0
405,5800,17675,32:44.1,32:44.1,0
407,5823,17764,08:57.3,08:57.3,0
422,5874,15399,35:20.4,35:20.4,0
428,5800,17830,01:43.6,01:43.6,0
434,5824,17859,04:59.8,04:59.8,0
435,2831,17865,12:27.7,12:27.7,0
441,4347,17882,20:55.6,20:55.6,0
